ticker,perm_id,name,summary_level,contextual_level
BAC US,Q3TRMZ-S-US,Bank of America Corp,1,1
SIRI US,SPBLN5-S-US,"Sirius Xm Holdings, I",1,1
WEC US,C8QZP6-S-US,WEC Energy Group Inc,response status_code : 504,1
NRZ US,BGQ998-S-US,"New Relic, Inc.",0,1
XOM US,HP44R7-S-US,Exxon Mobil Corporation,response status_code : 504,1
TFX US,T6776H-S-US,Teleflex Incorporated,response status_code : 504,1
IPGP US,FJ33G1-S-US,IPG Photonics Corporation,response status_code : 504,1
RJF US,QVJYPV-S-US,"Raymond James Financial, Inc.",1,1
TMHC US,C2H8CK-S-US,Taylor Morrison Home,response status_code : 504,1
TPR US,MYWCD8-S-US,"Tapestry, Inc.",response status_code : 504,1
LTHM US,NKYH18-S-US,Livent Corporation,0,1
IBKC US,Q3TXZ4-S-US,IBERIABANK Corporation,response status_code : 504,1
IT US,SPBJJ3-S-US,"Gartner, Inc.",1,1
BLK US,PB11JK-S-US,"BlackRock, Inc.",1,1
CTL US,DKNL1N-S-US,"CenturyLink, Inc.",1,1
TSN US,H0KFGR-S-US,"Tyson Foods, Inc. Class A",1,1
XRAY US,SC30Z4-S-US,"DENTSPLY SIRONA, Inc.",0,1
DOV US,VXR79F-S-US,Dover Corporation,response status_code : 504,1
BWA US,D4ZW23-S-US,BorgWarner Inc.,response status_code : 504,1
TXT US,DMY7TZ-S-US,Textron Inc.,response status_code : 504,1
UNM US,WDC30F-S-US,Unum Group,0,1
WYNN US,H6CGVQ-S-US,"Wynn Resorts, Limited",response status_code : 504,1
DHI US,VVFQYB-S-US,"D.R. Horton, Inc.",0,1
MRK GR,THFNLC-S-DE,Merck KGaA,0,0
HOLX US,RDLR73-S-US,"Hologic, Inc.",response status_code : 504,1
RO SW,MR5M59-S-CH,Roche Holding AG,1,1
DXS AU,GPK0FF-S-AU,Dexus,0,1
OMC US,L41WW5-S-US,Omnicom Group Inc,1,1
EXPD US,X42FBF-S-US,"Expeditors International of Washington, Inc.",0,1
PFG US,FJ0FBJ-S-US,"Principal Financial Group, Inc.",0,1
IAC US,TD1RHX-S-US,Iac/interactivecorp.,0,1
XEL US,JMNHJ8-S-US,Xcel Energy Inc.,response status_code : 504,1
ABMD US,DF3N8D-S-US,"ABIOMED, Inc.",response status_code : 504,1
IR US,M6459C-S-US,Ingersoll-Rand Plc,1,1
PX US,NB64DG-S-US,Linde plc,response status_code : 504,1
AON US,H9T6DW-S-US,Aon plc,response status_code : 504,1
DOX US,SKY5L7-S-US,Amdocs Limited,0,1
MET US,NV2X6X-S-US,"MetLife, Inc.",response status_code : 504,1
MONC IM,FZXPLZ-S-IT,Moncler SpA,response status_code : 504,1
EIX US,N03TRC-S-US,Edison International,response status_code : 504,1
SBGI US,KPFMHW-S-US,Sinclair Broadcast Gr,0,1
MCHP US,SY92RH-S-US,Microchip Technology Incorporated,0,1
RSG US,KYDC2F-S-US,"Republic Services, Inc.",response status_code : 504,1
CTSH US,RLF8JJ-S-US,Cognizant Technology Solutions Corporation Class A,0,1
SWKS US,XKV56X-S-US,"Skyworks Solutions, Inc.",1,1
TWTR US,GV451B-S-US,"Twitter, Inc.",1,1
AME US,D7DHD4-S-US,"AMETEK, Inc.",response status_code : 504,1
ADI US,P0X865-S-US,"Analog Devices, Inc.",response status_code : 504,1
SWEDA SS,RQT3M0-S-SE,Swedbank AB Class A,response status_code : 504,1
SYF US,DFHD4X-S-US,Synchrony Financial,0,1
PEGA US,NT38T5-S-US,Pegasystems Inc.,1,1
8001 JP,NPQ48H-S-JP,Itochu Corporation,response status_code : 504,1
TDS US,LKQGQP-S-US,Telephone And Data Sy,response status_code : 504,1
GPS US,T0NLZH-S-US,"Gap, Inc.",1,1
TEAM US,DM5J37-S-US,Atlassian Corp. Plc C,1,1
FL US,B82TCD-S-US,"Foot Locker, Inc.",1,1
URI US,SRQ728-S-US,"United Rentals, Inc.",0,1
TD CN,RFQ4VD-S-CA,Toronto-Dominion Bank,0,1
PHM US,VFZRT3-S-US,"PulteGroup, Inc.",response status_code : 504,1
ULTI US,P9WP6G-S-US,Ultimate Software Gro,response status_code : 504,1
XYL US,Q5V0CD-S-US,Xylem Inc.,response status_code : 504,1
CCL LN,GC8TKT-S-GB,Carnival Corporation,1,1
PSX US,SP70YY-S-US,Phillips 66,1,1
ICE US,H6GV8W-S-US,"Intercontinental Exchange, Inc.",response status_code : 504,1
PEG US,DXV63Y-S-US,Public Service Enterprise Group Inc,0,1
ANET US,JBVNSV-S-US,"Arista Networks, Inc.",response status_code : 504,1
WBA US,QSFJYG-S-US,Walgreens Boots Alliance Inc,1,1
IART US,D68983-S-US,Integrated Device Tec,0,1
MSCI US,TP36J7-S-US,MSCI Inc. Class A,1,1
UPS US,C6M0W9-S-US,"United Parcel Service, Inc. Class B",response status_code : 504,1
DOCU US,TS020P-S-US,"Docusign, Inc.",1,1
AMP SM,H1Q8VD-S-ES,"Amper, S.A.",0,1
RP US,GHZF8G-S-US,"Realpage, Inc.",0,1
SJM US,W0Z2R4-S-US,J.M. Smucker Company,response status_code : 504,1
SCHW US,B6VPNM-S-US,Charles Schwab Corporation,1,1
EW US,FWHW51-S-US,Edwards Lifesciences Corporation,response status_code : 504,1
CMS US,TNYNQV-S-US,CMS Energy Corporation,1,1
HOG US,TQ3YYX-S-US,"Harley-Davidson, Inc.",1,1
IEX US,HTKWFH-S-US,IDEX Corporation,1,1
LPT US,RWHVKS-S-US,Liberty Property Trus,0,1
AMZN US,RMCVZ9-S-US,"Amazon.com, Inc.",1,1
EXPE US,WSWSB6-S-US,"Expedia Group, Inc.",1,1
QTWO US,GLFDP8-S-US,"Q2 Holdings, Inc.",1,1
LB US,B3L74D-S-US,"L Brands, Inc.",1,1
REG US,P0S025-S-US,Regency Centers Corporation,0,1
PNW US,RJ034Z-S-US,Pinnacle West Capital Corporation,1,1
DVMT US,H1F53H-S-US,Dell Technologies Inc,1,1
ITW US,KC74XW-S-US,Illinois Tool Works Inc.,1,1
1COV GR,SFT72P-S-DE,Covestro AG,0,1
CMA US,S8TKL0-S-US,Comerica Incorporated,1,1
CSOD US,WVBS8K-S-US,"Cornerstone Ondemand,",response status_code : 502,response status_code : 502
NCR US,F6YHJW-S-US,Ncr Corporation,response status_code : 502,1
DKS US,F5TFNZ-S-US,Dick's Sporting Goods,response status_code : 502,1
9984 JP,BNLKX9-S-JP,SoftBank Group Corp.,1,1
MMS US,HY2KQH-S-US,"Maximus, Inc.",0,response status_code : 502
ERICB SS,HR8NLN-S-SE,Telefonaktiebolaget L,1,1
STAY US,TKPMNN-S-US,Extended Stay America,1,1
MCO US,C4BW2G-S-US,Moody's Corporation,1,1
STX US,QXT7RT-S-US,Seagate Technology PLC,1,1
LEG GR,LS6J6D-S-DE,LEG Immobilien AG,0,0
NA,WYHN2K-S-US,Modern Times Group Mt,1,1
BHGE US,C6H18K-S-US,"Baker Hughes, a GE Company Class A",1,1
HSE CN,WFGLTT-S-CA,Husky Energy Inc.,0,1
DAL US,K6S3NB-S-US,"Delta Air Lines, Inc.",1,1
NDAQ US,QP196P-S-US,"Nasdaq, Inc.",0,1
PANW US,W32HMN-S-US,"Palo Alto Networks, I",1,1
DTE GR,QMQV1Q-S-DE,Deutsche Telekom AG,0,1
C US,T6BMPP-S-US,Citigroup Inc.,1,1
TMO US,LY6R71-S-US,Thermo Fisher Scientific Inc.,1,1
KORS US,FNBWSQ-S-US,Capri Holdings Limited,1,1
ZAYO US,GZV1DC-S-US,"Zayo Group Holdings,",1,1
AJG US,KRRDD7-S-US,Arthur J. Gallagher & Co.,1,1
AEP US,SW3WLF-S-US,"American Electric Power Company, Inc.",response status_code : 502,response status_code : 502
APAM US,G18BJK-S-US,"Artisan Partners Asset Management, Inc. Class A",response status_code : 502,response status_code : 502
INGA NA,SYDPMW-S-NL,ING Groep NV,response status_code : 502,response status_code : 502
MSG US,GPNFH5-S-US,Madison Square Garden,response status_code : 502,response status_code : 502
PWR US,WGR10T-S-US,"Quanta Services, Inc.",response status_code : 502,response status_code : 502
HON US,LKTW6W-S-US,Honeywell International Inc.,response status_code : 502,response status_code : 502
FE US,TZ642P-S-US,FirstEnergy Corp.,response status_code : 502,1
SNA US,DBV80B-S-US,Snap-on Incorporated,0,1
NBL US,WW7382-S-US,"Noble Energy, Inc.",0,1
APH US,WL12NL-S-US,Amphenol Corporation Class A,1,1
EVRG US,HR94J3-S-US,"Evergy, Inc.",0,1
MU US,D1RR34-S-US,"Micron Technology, Inc.",1,1
VNO US,D9JG61-S-US,Vornado Realty Trust,1,1
PCTY US,K5VMV3-S-US,Paylocity Holding Cor,1,1
PKG US,P8PY3Z-S-US,Packaging Corporation of America,1,1
LMT US,BV8916-S-US,Lockheed Martin Corporation,1,1
EA US,P7Q9Q7-S-US,Electronic Arts Inc.,1,1
FIS US,BZT3MC-S-US,"Fidelity National Information Services, Inc.",1,1
CNP US,PW1X8Y-S-US,"CenterPoint Energy, Inc.",0,1
BAH US,ST5LQZ-S-US,Booz Allen Hamilton H,1,1
AMGN US,T8GLHL-S-US,Amgen Inc.,1,1
AZPN US,M3VV5C-S-US,"Aspen Technology, Inc.",0,1
TROW US,RWGCRD-S-US,T. Rowe Price Group,1,1
FISV US,B00CQC-S-US,"Fiserv, Inc.",1,1
AAPL US,R85KLC-S-US,Apple Inc.,1,1
TYL US,VPXV41-S-US,"Tyler Technologies, I",1,1
CREE US,P35SQC-S-US,"Cree, Inc.",1,1
APA US,VFT77X-S-US,Apache Corporation,1,1
CMG US,SW780L-S-US,"Chipotle Mexican Grill, Inc.",1,1
SU CN,MBJF57-S-CA,Suncor Energy Inc.,1,1
ICP LN,T9RV8C-S-GB,Intermediate Capital,1,1
VMW US,DVTV6F-S-US,"Vmware, Inc. Class A",1,1
CSCO US,K14DFC-S-US,"Cisco Systems, Inc.",1,1
NOW US,W9VPHX-S-US,"Servicenow, Inc.",1,1
DG US,RMMHNL-S-US,Dollar General Corporation,1,1
WP US,DH3RVT-S-US,"Worldpay, Inc. Class",1,1
CIEN US,HF2HLY-S-US,Ciena Corporation,1,1
A US,BZSQX0-S-US,"Agilent Technologies, Inc.",1,1
MSFT US,DF3K29-S-US,Microsoft Corporation,1,1
MPC US,MQLFH7-S-US,Marathon Petroleum Corporation,1,1
ALXN US,RDKWL9-S-US,"Alexion Pharmaceuticals, Inc.",1,1
TJX US,VVB1XW-S-US,TJX Companies Inc,1,1
TRMB US,QXV6LQ-S-US,Trimble Inc.,1,1
FFH CN,W4J7VJ-S-CA,Fairfax Financial Hol,1,1
NCLH US,L97VX8-S-US,Norwegian Cruise Line Holdings Ltd.,1,1
DLB US,SRN308-S-US,"Dolby Laboratories, I",1,1
SBUX US,H3ZZPR-S-US,Starbucks Corporation,1,1
MSI CN,SGQT1Z-S-CA,Morneau Shepell Inc.,1,1
TTWO US,RXH8LB-S-US,"Take-Two Interactive Software, Inc.",1,1
TSCO US,PM37VG-S-US,Tractor Supply Company,1,1
PXD US,D3X1KC-S-US,Pioneer Natural Resources Company,1,1
VRNT US,DMSLZM-S-US,Verint Systems Inc.,"error : HTTPSConnectionPool(host='api.ci.decooda.com', port=443): Max retries exceeded with url: /api/analytics/v2.0/summary?access_token=ab4ca7d8-631f-4cf0-907e-cf2a362445ad (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7facc66d0128>: Failed to establish a new connection: [Errno -2] Name or service not known',))",1
7532 JP,V74M60-S-JP,Pan Pacific Internati,1,1
